id,name,wtb,wts,cost
168487,龙眼珊瑚,9,11,9
152508,凛冬之吻,1,3,1
152506,星光苔,1,3,1
152505,流波花苞,1,3,1
152509,海妖花粉,3,8,3
152511,海潮茎秆,1,3,1
152507,阿昆达,1,3,1
152510,锚草,55,80,55
152543,变色鱼,5,15,5
168506,专注决心,30,45,44.70588235
169299,无拘之怒,25,47,31.76470588
169451,深渊治疗,5,18,10.58823529
168529,邻位强化,30,67,44.11764706
152496,欺骗药水,10,50,17.64705882
168653,强效耐力,230,350,270.5882353
168652,强效智力,230,350,270.5882353
168654,强效力量,230,350,276.4705882
168651,强效敏捷,230,350,270.5882353
168447,急速之符,550,850,550
168446,爆击之符,550,850,550
168448,精通之符,550,850,550
168449,全能之符,550,850,550
168215,机械设备,25,50,25
